cargo,id_ubicacion,clase_ubicacion,descripcion_ubicacion,COMUNA,cant_votos_positivos,cant_votos_negativos,porcentaje_participacion,porcentaje_planillas_procesadas,cant_votantes,hora_proceso,clase_candidatura,id_candidatura,descripcion_candidatura,cant_votos
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Lista,1.1.1,Confluencia - Por la Igualdad y la Soberanía,113
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Lista,10.10.10,Coalición Cívica - Afirmación para una República Igualitaria,373
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Lista,11.11.11,El Movimiento,64
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Lista,12.12.12,Frente Patriota Federal,54
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Lista,13.13.13,La Izquierda en la Ciudad,105
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Lista,14.14.14,La Libertad Avanza,5745
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Lista,15.15.15,Seamos Libres,171
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Lista,16.16.16,Unión del Centro Democrático,661
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Lista,17.17.17,Movimiento de Integración y Desarrollo,387
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Lista,2.2.2,Buenos Aires Primero,2660
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Lista,3.3.3,Volvamos Buenos Aires,1578
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Lista,4.4.4,Es Ahora Buenos Aires,6894
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Lista,5.5.5,Evolución,481
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Lista,6.6.6,Frente de Izquierda y de Trabajadores - Unidad,828
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Lista,7.7.7,Principios y Valores,490
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Lista,8.8.8,Unión Porteña Libertaria,175
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Lista,9.9.9,Movimiento Plural,49
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Blanco,BLC,Voto en BLANCO,394
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Especial,IMP,Votos DE IDENTIDAD IMPUGNADA,0
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Especial,NUL,Votos NULOS,24
DIP,CABA.1.6,Localidad,Constitucion,Comuna 01,21222,26,41.8679,98.6394,21248,2025-05-18 21:05:01,Especial,REC,Votos RECURRIDOS,2
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Lista,1.1.1,Confluencia - Por la Igualdad y la Soberanía,188
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Lista,10.10.10,Coalición Cívica - Afirmación para una República Igualitaria,3102
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Lista,11.11.11,El Movimiento,93
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Lista,12.12.12,Frente Patriota Federal,111
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Lista,13.13.13,La Izquierda en la Ciudad,202
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Lista,14.14.14,La Libertad Avanza,32028
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Lista,15.15.15,Seamos Libres,196
DIP,CABA.2.7,Localidad,Recoleta,Comuna 02,84752,60,51.3389,100,84812,2025-05-18 21:05:01,Lista,16.16.16,Unión del Centro Democrático,2689
